Back to Contents,Data 1: Weekly U.S. Ending Stocks of Crude Oil in SPR  (Thousand Barrels)
Sourcekey,WCSSTUS1
Date,Weekly U.S. Ending Stocks of Crude Oil in SPR  (Thousand Barrels)
32927.0,580925
32934.0,580925
32941.0,581417
32948.0,581417
32955.0,581417
32962.0,581417
32969.0,582279
32976.0,582279
32983.0,582279
32990.0,582656
32997.0,583419
33004.0,584305
33011.0,585183
33018.0,586181
33025.0,586181
33032.0,586181
33039.0,586181
33046.0,586181
33053.0,586686
33060.0,586686
33067.0,586678
33074.0,586678
33081.0,586678
33088.0,586677
33095.0,586678
33102.0,587202
33109.0,588692
33116.0,589623
33123.0,589623
33130.0,589623
33137.0,589623
33144.0,589623
33151.0,589623
33158.0,589623
33165.0,589623
33172.0,589623
33179.0,589366
33186.0,588217
33193.0,587938
33200.0,587316
33207.0,586903
33214.0,586016
33221.0,585692
33228.0,585692
33235.0,585692
33242.0,585692
33249.0,585691
33256.0,585691
33263.0,585692
33270.0,585692
33277.0,584765
33284.0,583506
33291.0,583245
33298.0,581560
33305.0,577748
33312.0,574986
33319.0,572453
33326.0,571410
33333.0,568482
33340.0,568482
33347.0,568482
33354.0,568482
33361.0,568482
33368.0,568483
33375.0,568483
33382.0,568483
33389.0,568483
33396.0,568483
33403.0,568483
33410.0,568482
33417.0,568483
33424.0,568483
33431.0,568488
33438.0,568488
33445.0,568488
33452.0,568488
33459.0,568488
33466.0,568502
33473.0,568502
33480.0,568502
33487.0,568503
33494.0,568503
33501.0,568503
33508.0,568503
33515.0,568503
33522.0,568503
33529.0,568503
33536.0,568503
33543.0,568503
33550.0,568503
33557.0,568505
33564.0,568505
33571.0,568505
33578.0,568502
33585.0,568502
33592.0,568502
33599.0,568502
33606.0,568502
33613.0,568508
33620.0,568508
33627.0,568508
33634.0,568508
33641.0,568508
33648.0,568510
33655.0,568510
33662.0,568510
33669.0,568510
33676.0,568510
33683.0,568510
33690.0,568510
33697.0,568510
33704.0,568511
33711.0,568511
33718.0,568511
33725.0,568511
33732.0,568511
33739.0,568511
33746.0,568511
33753.0,568511
33760.0,568511
33767.0,568514
33774.0,568514
33781.0,569521
33788.0,569522
33795.0,569522
33802.0,569520
33809.0,569520
33816.0,569520
33823.0,569521
33830.0,569521
33837.0,569776
33844.0,570092
33851.0,570092
33858.0,570322
33865.0,570322
33872.0,570322
33879.0,571440
33886.0,571438
33893.0,573302
33900.0,573302
33907.0,573503
33914.0,573575
33921.0,573575
33928.0,573837
33935.0,573837
33942.0,573837
33949.0,574039
33956.0,574393
33963.0,574562
33970.0,574638
33977.0,574723
33984.0,574977
33991.0,575145
33998.0,575247
34005.0,575313
34012.0,575311
34019.0,575582
34026.0,575721
34033.0,575806
34040.0,576017
34047.0,576834
34054.0,577378
34061.0,577606
34068.0,578593
34075.0,578593
34082.0,579840
34089.0,581485
34096.0,581689
34103.0,581702
34110.0,581954
34117.0,582037
34124.0,582121
34131.0,582119
34138.0,582425
34145.0,582425
34152.0,582526
34159.0,582754
34166.0,582939
34173.0,582939
34180.0,582939
34187.0,583332
34194.0,583587
34201.0,583753
34208.0,583837
34215.0,584087
34222.0,584087
34229.0,585183
34236.0,585508
34243.0,585587
34250.0,585658
34257.0,585910
34264.0,585993
34271.0,586079
34278.0,586079
34285.0,586248
34292.0,586568
34299.0,586627
34306.0,586793
34313.0,586794
34320.0,586884
34327.0,586884
34334.0,587018
34341.0,587080
34348.0,587080
34355.0,587146
34362.0,587164
34369.0,587192
34376.0,587192
34383.0,587192
34390.0,587192
34397.0,587193
34404.0,587193
34411.0,589169
34418.0,589169
34425.0,589169
34432.0,590256
34439.0,591179
34446.0,591179
34453.0,591179
34460.0,591179
34467.0,591173
34474.0,591173
34481.0,591173
34488.0,591173
34495.0,591178
34502.0,591178
34509.0,591178
34516.0,591178
34523.0,591669
34530.0,591669
34537.0,591670
34544.0,591670
34551.0,591673
34558.0,591672
34565.0,591673
34572.0,591673
34579.0,591673
34586.0,591675
34593.0,591675
34600.0,591675
34607.0,591675
34614.0,591675
34621.0,591676
34628.0,591676
34635.0,591676
34642.0,591676
34649.0,591674
34656.0,591674
34663.0,591674
34670.0,591674
34677.0,591673
34684.0,591673
34691.0,591673
34698.0,591673
34705.0,591673
34712.0,591670
34719.0,591670
34726.0,591670
34733.0,591670
34740.0,591671
34747.0,591671
34754.0,591671
34761.0,591671
34768.0,591673
34775.0,591673
34782.0,591673
34789.0,591673
34796.0,591672
34803.0,591672
34810.0,591673
34817.0,591672
34824.0,591672
34831.0,591671
34838.0,591671
34845.0,591671
34852.0,591671
34859.0,591669
34866.0,591669
34873.0,591669
34880.0,591669
34887.0,591669
34894.0,591669
34901.0,591672
34908.0,591672
34915.0,591700
34922.0,591670
34929.0,591670
34936.0,591670
34943.0,591670
34950.0,591670
34957.0,591673
34964.0,591673
34971.0,591673
34978.0,591673
34985.0,591673
34992.0,591668
34999.0,591668
35006.0,591668
35013.0,591663
35020.0,591663
35027.0,591663
35034.0,591663
35041.0,591663
35048.0,591651
35055.0,591648
35062.0,591648
35069.0,591648
35076.0,591640
35083.0,591640
35090.0,591640
35097.0,591640
35104.0,591640
35111.0,591630
35118.0,591630
35125.0,591630
35132.0,591630
35139.0,591617
35146.0,591617
35153.0,589122
35160.0,589129
35167.0,587644
35174.0,586994
35181.0,586493
35188.0,586493
35195.0,586493
35202.0,586485
35209.0,586485
35216.0,585815
35223.0,585803
35230.0,585803
35237.0,584469
35244.0,584469
35251.0,584465
35258.0,583984
35265.0,583583
35272.0,583114
35279.0,582912
35286.0,581389
35293.0,580868
35300.0,580295
35307.0,578649
35314.0,577575
35321.0,576244
35328.0,575720
35335.0,573665
35342.0,573665
35349.0,573659
35356.0,573659
35363.0,573659
35370.0,573659
35377.0,573621
35384.0,573390
35391.0,572063
35398.0,571119
35405.0,570100
35412.0,569820
35419.0,568094
35426.0,567467
35433.0,566762
35440.0,565816
35447.0,565188
35454.0,564783
35461.0,563793
35468.0,563484
35475.0,563482
35482.0,563482
35489.0,563482
35496.0,563482
35503.0,563474
35510.0,563474
35517.0,563474
35524.0,563474
35531.0,563469
35538.0,563479
35545.0,563479
35552.0,563469
35559.0,563463
35566.0,563463
35573.0,563463
35580.0,563463
35587.0,563463
35594.0,563459
35601.0,563459
35608.0,563459
35615.0,563459
35622.0,563455
35629.0,563455
35636.0,563455
35643.0,563455
35650.0,563452
35657.0,563452
35664.0,563452
35671.0,563452
35678.0,563452
35685.0,563449
35692.0,563449
35699.0,563449
35706.0,563449
35713.0,563444
35720.0,563444
35727.0,563444
35734.0,563444
35741.0,563444
35748.0,563439
35755.0,563439
35762.0,563439
35769.0,563439
35776.0,563439
35783.0,563430
35790.0,563430
35797.0,563430
35804.0,563429
35811.0,563429
35818.0,563429
35825.0,563479
35832.0,563429
35839.0,563430
35846.0,563430
35853.0,563430
35860.0,563430
35867.0,563426
35874.0,563426
35881.0,563426
35888.0,563426
35895.0,563426
35902.0,563426
35909.0,563426
35916.0,563426
35923.0,563426
35930.0,563426
35937.0,563426
35944.0,563426
35951.0,563426
35958.0,563426
35965.0,563428
35972.0,563428
35979.0,563428
35986.0,563429
35993.0,563429
36000.0,563429
36007.0,563429
36014.0,563429
36021.0,563429
36028.0,563426
36035.0,563426
36042.0,563426
36049.0,563426
36056.0,563426
36063.0,563426
36070.0,563426
36077.0,563426
36084.0,563426
36091.0,563426
36098.0,563426
36105.0,563426
36112.0,564015
36119.0,564015
36126.0,564015
36133.0,564015
36140.0,564015
36147.0,568525
36154.0,568525
36161.0,568525
36168.0,568525
36175.0,568525
36182.0,571405
36189.0,571405
36196.0,571405
36203.0,571951
36210.0,572000
36217.0,571951
36224.0,571951
36231.0,571951
36238.0,571951
36245.0,571951
36252.0,571951
36259.0,571951
36266.0,571951
36273.0,571951
36280.0,571951
36287.0,571951
36294.0,572452
36301.0,572452
36308.0,572452
36315.0,572452
36322.0,573595
36329.0,573595
36336.0,573595
36343.0,573595
36350.0,573595
36357.0,574799
36364.0,574799
36371.0,574799
36378.0,574799
36385.0,575702
36392.0,575702
36399.0,575702
36406.0,575702
36413.0,575702
36420.0,574876
36427.0,574876
36434.0,574876
36441.0,574876
36448.0,575472
36455.0,575472
36462.0,575472
36469.0,572791
36476.0,572769
36483.0,570971
36490.0,569836
36497.0,569115
36504.0,567975
36511.0,567976
36518.0,567684
36525.0,567684
36532.0,567242
36539.0,567518
36546.0,568115
36553.0,568414
36560.0,568994
36567.0,569292
36574.0,569293
36581.0,569095
36588.0,569374
36595.0,569374
36602.0,569373
36609.0,569373
36616.0,569412
36623.0,569412
36630.0,569413
36637.0,569413
36644.0,569413
36651.0,569413
36658.0,569413
36665.0,569413
36672.0,569413
36679.0,569413
36686.0,569413
36693.0,569413
36700.0,568417
36707.0,568417
36714.0,568892
36721.0,569368
36728.0,569368
36735.0,569467
36742.0,570352
36749.0,570866
36756.0,570866
36763.0,571106
36770.0,571106
36777.0,571365
36784.0,571365
36791.0,571365
36798.0,570668
36805.0,570280
36812.0,570762
36819.0,570762
36826.0,567886
36833.0,565995
36840.0,564498
36847.0,560326
36854.0,554277
36861.0,552800
36868.0,547704
36875.0,543335
36882.0,541906
36889.0,541188
36896.0,540678
36903.0,540678
36910.0,540678
36917.0,540678
36924.0,541673
36931.0,541676
36938.0,541676
36945.0,541676
36952.0,541676
36959.0,542130
36966.0,542291
36973.0,542291
36980.0,542291
36987.0,542291
36994.0,542290
37001.0,542350
37008.0,542350
37015.0,542809
37022.0,543270
37029.0,543270
37036.0,543270
37043.0,543270
37050.0,543270
37057.0,543270
37064.0,543270
37071.0,543270
37078.0,543733
37085.0,543733
37092.0,543733
37099.0,543733
37106.0,543733
37113.0,543734
37120.0,543734
37127.0,543734
37134.0,543734
37141.0,543734
37148.0,544278
37155.0,544759
37162.0,544759
37169.0,544760
37176.0,544760
37183.0,544760
37190.0,544760
37197.0,545205
37204.0,545734
37211.0,546255
37218.0,546779
37225.0,547325
37232.0,547325
37239.0,548344
37246.0,549047
37253.0,549047
37260.0,550239
37267.0,551271
37274.0,552457
37281.0,553504
37288.0,554224
37295.0,557067
37302.0,557447
37309.0,559171
37316.0,559725
37323.0,559964
37330.0,560916
37337.0,560916
37344.0,560915
37351.0,561487
37358.0,563122
37365.0,564938
37372.0,565517
37379.0,566756
37386.0,567718
37393.0,568339
37400.0,569491
37407.0,570742
37414.0,571859
37421.0,572750
37428.0,574333
37435.0,575417
37442.0,576444
37449.0,577525
37456.0,578048
37463.0,578048
37470.0,578522
37477.0,579095
37484.0,579585
37491.0,580216
37498.0,580885
37505.0,582265
37512.0,583631
37519.0,583983
37526.0,585283
37533.0,586232
37540.0,587731
37547.0,588130
37554.0,588563
37561.0,589075
37568.0,590641
37575.0,591949
37582.0,593506
37589.0,594637
37596.0,597138
37603.0,598083
37610.0,598794
37617.0,598895
37624.0,599095
37631.0,599251
37638.0,599251
37645.0,599247
37652.0,599247
37659.0,599247
37666.0,599247
37673.0,599247
37680.0,599247
37687.0,599247
37694.0,599247
37701.0,599247
37708.0,599247
37715.0,599247
37722.0,599448
37729.0,599448
37736.0,599448
37743.0,599585
37750.0,600390
37757.0,601080
37764.0,601602
37771.0,602527
37778.0,603975
37785.0,605234
37792.0,605532
37799.0,607327
37806.0,608692
37813.0,609300
37820.0,610000
37827.0,610700
37834.0,612413
37841.0,612562
37848.0,612700
37855.0,615926
37862.0,616993
37869.0,618456
37876.0,620228
37883.0,621367
37890.0,622000
37897.0,623805
37904.0,625686
37911.0,627093
37918.0,628750
37925.0,629986
37932.0,631209
37939.0,632222
37946.0,632635
37953.0,633380
37960.0,634179
37967.0,634700
37974.0,635658
37981.0,636355
37988.0,638232
37995.0,639277
38002.0,639586
38009.0,640462
38016.0,641063
38023.0,641855
38030.0,643444
38037.0,645327
38044.0,646581
38051.0,647542
38058.0,648200
38065.0,649569
38072.0,650882
38079.0,652143
38086.0,652985
38093.0,654312
38100.0,656502
38107.0,657588
38114.0,659033
38121.0,659331
38128.0,659480
38135.0,660346
38142.0,661343
38149.0,661339
38156.0,661339
38163.0,662380
38170.0,662380
38177.0,662876
38184.0,662873
38191.0,663967
38198.0,664516
38205.0,665670
38212.0,666182
38219.0,667208
38226.0,668516
38233.0,669003
38240.0,669301
38247.0,669857
38254.0,670442
38261.0,670150
38268.0,669200
38275.0,668949
38282.0,669595
38289.0,669715
38296.0,670323
38303.0,671248
38310.0,671247
38317.0,671247
38324.0,672772
38331.0,673234
38338.0,673606
38345.0,673606
38352.0,674000
38359.0,675606
38366.0,676460
38373.0,677618
38380.0,678627
38387.0,679675
38394.0,680515
38401.0,681059
38408.0,681513
38415.0,682015
38422.0,683657
38429.0,685368
38436.0,686878
38443.0,687500
38450.0,688751
38457.0,689804
38464.0,690740
38471.0,691215
38478.0,692012
38485.0,692467
38492.0,692909
38499.0,693295
38506.0,693939
38513.0,694935
38520.0,695563
38527.0,695800
38534.0,696300
38541.0,697000
38548.0,697484
38555.0,698000
38562.0,698205
38569.0,698933
38576.0,699756
38583.0,700231
38590.0,700500
38597.0,700500
38604.0,699200
38611.0,696464
38618.0,695500
38625.0,693250
38632.0,690520
38639.0,688700
38646.0,687100
38653.0,685200
38660.0,684500
38667.0,684700
38674.0,684400
38681.0,685100
38688.0,685600
38695.0,685600
38702.0,685100
38709.0,685100
38716.0,684600
38723.0,684300
38730.0,684300
38737.0,684496
38744.0,683700
38751.0,683900
38758.0,683900
38765.0,684300
38772.0,684600
38779.0,684800
38786.0,684800
38793.0,685200
38800.0,685700
38807.0,686300
38814.0,686457
38821.0,686896
38828.0,687116
38835.0,687614
38842.0,688057
38849.0,688599
38856.0,688599
38863.0,688598
38870.0,688598
38877.0,688597
38884.0,688599
38891.0,688598
38898.0,688598
38905.0,687848
38912.0,687847
38919.0,687847
38926.0,687846
38933.0,687845
38940.0,687845
38947.0,687843
38954.0,687842
38961.0,687842
38968.0,687840
38975.0,687839
38982.0,687838
38989.0,687838
38996.0,687927
39003.0,687926
39010.0,688195
39017.0,688438
39024.0,688515
39031.0,688605
39038.0,688605
39045.0,688605
39052.0,688605
39059.0,688605
39066.0,688605
39073.0,688605
39080.0,688605
39087.0,688605
39094.0,688605
39101.0,688605
39108.0,688605
39115.0,688605
39122.0,688605
39129.0,688605
39136.0,688605
39143.0,688604
39150.0,688604
39157.0,688604
39164.0,688603
39171.0,688603
39178.0,688661
39185.0,688915
39192.0,689025
39199.0,689313
39206.0,689477
39213.0,689609
39220.0,689691
39227.0,689988
39234.0,690270
39241.0,690270
39248.0,690270
39255.0,690270
39262.0,690270
39269.0,690270
39276.0,690270
39283.0,690270
39290.0,690270
39297.0,690270
39304.0,690270
39311.0,690270
39318.0,690271
39325.0,690271
39332.0,690437
39339.0,690912
39346.0,692541
39353.0,692804
39360.0,692803
39367.0,693305
39374.0,693851
39381.0,693943
39388.0,694035
39395.0,694680
39402.0,694773
39409.0,694773
39416.0,695409
39423.0,695503
39430.0,695600
39437.0,695501
39444.0,696375
39451.0,696549
39458.0,698069
39465.0,698146
39472.0,698145
39479.0,698254
39486.0,698349
39493.0,698349
39500.0,698577
39507.0,698711
39514.0,698822
39521.0,699504
39528.0,699503
39535.0,699750
39542.0,700372
39549.0,701013
39556.0,701132
39563.0,701339
39570.0,701331
39577.0,701992
39584.0,702650
39591.0,703289
39598.0,704102
39605.0,704253
39612.0,704744
39619.0,704846
39626.0,705823
39633.0,705956
39640.0,706068
39647.0,706184
39654.0,706300
39661.0,706815
39668.0,707215
39675.0,707214
39682.0,707213
39689.0,707213
39696.0,707213
39703.0,707212
39710.0,705789
39717.0,704414
39724.0,702414
39731.0,702134
39738.0,701887
39745.0,701833
39752.0,701833
39759.0,701831
39766.0,701830
39773.0,701830
39780.0,701830
39787.0,701828
39794.0,701828
39801.0,701826
39808.0,701824
39815.0,701824
39822.0,701890
39829.0,702063
39836.0,702796
39843.0,703519
39850.0,703843
39857.0,703942
39864.0,704171
39871.0,704903
39878.0,705695
39885.0,707496
39892.0,709343
39899.0,711015
39906.0,712887
39913.0,714150
39920.0,715448
39927.0,716673
39934.0,718737
39941.0,719592
39948.0,720331
39955.0,721616
39962.0,721700
39969.0,721700
39976.0,722285
39983.0,722780
39990.0,723419
39997.0,723418
40004.0,724098
40011.0,724097
40018.0,724096
40025.0,724096
40032.0,724094
40039.0,724093
40046.0,724093
40053.0,724092
40060.0,724092
40067.0,724591
40074.0,725089
40081.0,725087
40088.0,725086
40095.0,725086
40102.0,725084
40109.0,725082
40116.0,725082
40123.0,725081
40130.0,725081
40137.0,725080
40144.0,725603
40151.0,726129
40158.0,726129
40165.0,726128
40172.0,726127
40179.0,726617
40186.0,726616
40193.0,726616
40200.0,726615
40207.0,726615
40214.0,726612
40221.0,726612
40228.0,726612
40235.0,726610
40242.0,726608
40249.0,726608
40256.0,726607
40263.0,726607
40270.0,726606
40277.0,726604
40284.0,726602
40291.0,726601
40298.0,726601
40305.0,726599
40312.0,726597
40319.0,726597
40326.0,726595
40333.0,726595
40340.0,726594
40347.0,726594
40354.0,726592
40361.0,726591
40368.0,726591
40375.0,726591
40382.0,726589
40389.0,726589
40396.0,726586
40403.0,726586
40410.0,726584
