Back to Contents,Data 1: Weekly U.S. Ending Stocks of Crude Oil in SPR  (Thousand Barrels)
Sourcekey,WCSSTUS1
Date,Weekly U.S. Ending Stocks of Crude Oil in SPR  (Thousand Barrels)
42188.0,694223
42195.0,694622
42202.0,695135
42209.0,695134
42216.0,695134
42223.0,695134
42230.0,695133
42237.0,695133
42244.0,695133
42251.0,695130
42258.0,695130
42265.0,695130
42272.0,695128
42279.0,695128
42286.0,695128
42293.0,695127
42300.0,695127
42307.0,695127
42314.0,695126
42321.0,695126
42328.0,695125
42335.0,695125
42342.0,695123
42349.0,695123
42356.0,695123
42363.0,695120
42370.0,695120
42377.0,695119
42384.0,695118
42391.0,695118
42398.0,695117
42405.0,695116
42412.0,695116
42419.0,695115
42426.0,695115
42433.0,695112
42440.0,695114
42447.0,695114
42454.0,695112
42461.0,695112
42468.0,695112
42475.0,695112
42482.0,695111
42489.0,695108
42496.0,695107
42503.0,695107
42510.0,695106
42517.0,695106
42524.0,695104
42531.0,695104
42538.0,695104
42545.0,695104
42552.0,695102
42559.0,695100
42566.0,695099
42573.0,695099
42580.0,695099
42587.0,695096
42594.0,695096
42601.0,695095
42608.0,695094
42615.0,695093
42622.0,695093
42629.0,695092
42636.0,695092
42643.0,695091
42650.0,695090
42657.0,695089
42664.0,695089
42671.0,695088
42678.0,695087
42685.0,695087
42692.0,695086
42699.0,695085
42706.0,695084
42713.0,695084
42720.0,695083
42727.0,695082
42734.0,695082
42741.0,695082
42748.0,695081
42755.0,695081
42762.0,695079
42769.0,695078
42776.0,695078
42783.0,695078
42790.0,695076
42797.0,694825
42804.0,694009
42811.0,693383
42818.0,692659
42825.0,692135
42832.0,691510
42839.0,691311
42846.0,690810
42853.0,689338
42860.0,688787
42867.0,688059
42874.0,687661
42881.0,686682
42888.0,685026
42895.0,684625
42902.0,683842
42909.0,682436
42916.0,682037
42923.0,678887
42930.0,678885
42937.0,678885
42944.0,678884
42951.0,678883
42958.0,678883
42965.0,678883
42972.0,678880
42979.0,678600
42986.0,677007
42993.0,675397
43000.0,674601
43007.0,673649
43014.0,672449
43021.0,671691
43028.0,671377
43035.0,670587
43042.0,669906
43049.0,669200
43056.0,667475
43063.0,665111
43070.0,662663
43077.0,662911
43084.0,663294
43091.0,663392
43098.0,663748
43105.0,663747
43112.0,664218
43119.0,664454
43126.0,664686
43133.0,665148
43140.0,665568
43147.0,664872
43154.0,665281
43161.0,665458
43168.0,665458
43175.0,665458
43182.0,665458
43189.0,665456
43196.0,665456
43203.0,665456
43210.0,664718
43217.0,664266
43224.0,663557
43231.0,662037
43238.0,661336
43245.0,660777
43252.0,660168
43259.0,660168
43266.0,660016
43273.0,660016
43280.0,660016
43287.0,660015
43294.0,660014
43301.0,660014
43308.0,660014
43315.0,660013
43322.0,660013
43329.0,660012
43336.0,660012
43343.0,660012
43350.0,660011
43357.0,660010
43364.0,660010
43371.0,660010
43378.0,658704
43385.0,657634
43392.0,656476
43399.0,654935
43406.0,654700
43413.0,653329
43420.0,652569
43427.0,650564
43434.0,649561
43441.0,649563
43448.0,649137
43455.0,649139
43462.0,649139
43469.0,649139
43476.0,649139
43483.0,649139
43490.0,649139
43497.0,649139
43504.0,649139
43511.0,649139
43518.0,649139
43525.0,649126
43532.0,649126
43539.0,649126
43546.0,649126
43553.0,649126
43560.0,649126
43567.0,649126
43574.0,649126
43581.0,648587
43588.0,647717
43595.0,645953
43602.0,644818
43609.0,644818
43616.0,644818
43623.0,644818
43630.0,644818
43637.0,644818
43644.0,644818
43651.0,644818
43658.0,644818
43665.0,644818
43672.0,644818
43679.0,644818
43686.0,644818
43693.0,644818
43700.0,644818
43707.0,644818
43714.0,644818
43721.0,644818
43728.0,644818
43735.0,644818
43742.0,644618
43749.0,643349
43756.0,642350
43763.0,641652
43770.0,640952
43777.0,639509
43784.0,637537
43791.0,636170
43798.0,635166
43805.0,634968
43812.0,634967
43819.0,634967
43826.0,634967
43833.0,634967
43840.0,634967
43847.0,634967
43854.0,634967
43861.0,634967
43868.0,634967
43875.0,634967
43882.0,634967
43889.0,634967
43896.0,634967
43903.0,634967
43910.0,634967
43917.0,634967
43924.0,634967
43931.0,634967
43938.0,634967
43945.0,636117
43952.0,637833
43959.0,639766
43966.0,641648
43973.0,643759
43980.0,647779
43987.0,649999
43994.0,651730
44001.0,653721
44008.0,655413
44015.0,656023
44022.0,656149
44029.0,656147
44036.0,656147
44043.0,656141
44050.0,653899
44057.0,651228
44064.0,649465
44071.0,648165
44078.0,647860
44085.0,645733
44092.0,644952
44099.0,643151
44106.0,642006
44113.0,640847
44120.0,640081
44127.0,639423
44134.0,639270
44141.0,638706
44148.0,638301
44155.0,638190
44162.0,638190
44169.0,638085
44176.0,638086
44183.0,638085
44190.0,638085
44197.0,638085
44204.0,638085
44211.0,638085
44218.0,638086
44225.0,638086
44232.0,637921
44239.0,637773
44246.0,637773
44253.0,637773
44260.0,637773
44267.0,637773
44274.0,637773
44281.0,637773
44288.0,637773
44295.0,636667
44302.0,635924
44309.0,634475
44316.0,633427
44323.0,632028
44330.0,630127
44337.0,628481
44344.0,627833
44351.0,626484
44358.0,625593
44365.0,623888
44372.0,622487
44379.0,621304
44386.0,621304
44393.0,621304
44400.0,621304
44407.0,621304
44414.0,621304
44421.0,621302
44428.0,621302
44435.0,621302
44442.0,621302
44449.0,620773
44456.0,619569
44463.0,618689
44470.0,617770
44477.0,616970
44484.0,615276
44491.0,614186
44498.0,612541
44505.0,609396
44512.0,606147
44519.0,604505
44526.0,602556
44533.0,600867
44540.0,598917
44547.0,596381
44554.0,595028
44561.0,593682
44568.0,593382
44575.0,592034
44582.0,590782
44589.0,588912
44596.0,587515
44603.0,584828
44610.0,582384
44617.0,580020
44624.0,577496
44631.0,575513
44638.0,571323
44645.0,568322
44652.0,564580
44659.0,560681
44666.0,555980
44673.0,553070
44680.0,549985
44687.0,542994
44694.0,537984
44701.0,532013
44708.0,526592
44715.0,519323
44722.0,511612
44729.0,504818
44736.0,497868
44743.0,492028
44750.0,485147
44757.0,480149
44764.0,474545
44771.0,469855
44778.0,464558
44785.0,461156
44792.0,453065
44799.0,449998
44806.0,442471
44813.0,434057
44820.0,427158
44827.0,422583
44834.0,416389
44841.0,408699
44848.0,405135
44855.0,401718
44862.0,399792
44869.0,396219
44876.0,392119
44883.0,390518
44890.0,389116
44897.0,387019
44904.0,382271
44911.0,378624
44918.0,375128
44925.0,372380
44932.0,371580
44939.0,371579
44946.0,371579
44953.0,371579
44960.0,371579
44967.0,371579
44974.0,371579
44981.0,371579
44988.0,371579
44995.0,371579
45002.0,371579
45009.0,371579
45016.0,371175
45023.0,369575
45030.0,367963
45037.0,366942
45044.0,364938
45051.0,362014
45058.0,359586
45065.0,357954
45072.0,355436
45079.0,353569
45086.0,351687
45093.0,349968
45100.0,348617
45107.0,347159
45114.0,346758
45121.0,346759
45128.0,346759
45135.0,346759
45142.0,347754
45149.0,348354
45156.0,348948
45163.0,349542
45170.0,350340
45177.0,350630
45184.0,351230
45191.0,350980
45198.0,351280
45205.0,351274
45212.0,351274
45219.0,351274
45226.0,351274
45233.0,351274
45240.0,351274
45247.0,351274
45254.0,351587
45261.0,351917
45268.0,351911
45275.0,352540
45282.0,353333
45289.0,354388
45296.0,354994
45303.0,355590
45310.0,356510
45317.0,357402
45324.0,358017
45331.0,358763
45338.0,359511
45345.0,360254
45352.0,360960
45359.0,361556
45366.0,362306
45373.0,363050
45380.0,363641
45387.0,364236
45394.0,364884
45401.0,365677
45408.0,366271
45415.0,367218
45422.0,367811
45429.0,368804
45436.0,369289
45443.0,370187
45450.0,370526
45457.0,370912
45464.0,372197
45471.0,372595
45478.0,373072
45485.0,373722
45492.0,374412
45499.0,375097
45506.0,375833
45513.0,376527
45520.0,377163
45527.0,377908
45534.0,379672
45541.0,379951
45548.0,380606
45555.0,381893
45562.0,382553
45569.0,382930
45576.0,383882
45583.0,384642
45590.0,385831
45597.0,387223
45604.0,387790
45611.0,389190
45618.0,390362
45625.0,391807
45632.0,392531
45639.0,393050
45646.0,393310
45653.0,393570
45660.0,393817
45667.0,394317
45674.0,394566
45681.0,394814
45688.0,395064
45695.0,395313
45702.0,395313
45709.0,395313
45716.0,395313
45723.0,395588
45730.0,395863
45737.0,396149
45744.0,396434
45751.0,396710
45758.0,397009
45765.0,397477
45772.0,398542
45779.0,399122
45786.0,399650
45793.0,400493
45800.0,401313
45807.0,401822
45814.0,402059
45821.0,402289
45828.0,402526
45835.0,402765
45842.0,403003
45849.0,402703
45856.0,402503
45863.0,402741
45870.0,402976
45877.0,403202
45884.0,403425
45891.0,404201
45898.0,404710
45905.0,405224
45912.0,405728
45919.0,405958
45926.0,406700
45933.0,406985
45940.0,407745
45947.0,408564
45954.0,409097
45961.0,409595
45968.0,410393
45975.0,410926
45982.0,411424
45989.0,411674
45996.0,411922
46003.0,412171
46010.0,412971
46017.0,413219
46024.0,413464
46031.0,413678
46038.0,414484
46045.0,414999
46052.0,415213
46059.0,415212
46066.0,415441
46073.0,415441
46080.0,415441
46087.0,415442
46094.0,415442
46101.0,415442
46108.0,415064
46115.0,413325
46122.0,409181
46129.0,405045
46136.0,397924
46143.0,392700
46150.0,384095
46157.0,374175
46164.0,365112
46171.0,357119
46178.0,349192
46185.0,340251
46192.0,331191
46199.0,325655
46206.0,319489
46213.0,316504
46220.0,311447
46227.0,307650
46234.0,304809
46241.0,298694
46248.0,293426
46255.0,289726
46262.0,286604
46269.0,285360
46276.0,284957
